Label	Weight	Text
l_General	1	que es correcto
l_General	1	que debo presentar para cambiar el nombre del local
l_General	1	el medidor registra una lectura diferente a la factura
l_General	1	gracias sí
l_General	1	brilla me puede prestar para
l_General	1	fuga dentro del hogar
l_General	1	no muy
l_General	1	visita de financiacion no bancaria
l_General	1	daño en la red
l_General	1	puedo pagar mi deuda de gas en otra casa
l_General	1	como hago para ganarme al exencion de la contribución
l_General	1	sí adelante
l_General	1	traslado de deuda
l_General	1	no, gracias
l_General	1	quiero abonar solo a brilla
l_General	1	inquilino se fue y dejo deuda brilla
l_General	1	certificado de tus facturas
l_General	1	se me perdio mi factura como la puedo imprimir
l_General	1	reconexion desde el medidor
l_General	1	emergencia
l_General	1	deseo cononcer el menú
l_General	1	soy una industria que no paga contribución
l_General	1	deseo pagar la factura anterior
l_General	1	necesito el soporte de mi ultimo pago
l_General	1	estado reconexión pago
l_General	1	quiero un soporte de pago del ultimo año
l_General	1	quiero saber mi lectura
l_General	1	por aquí puedo generar un certificado de paz y salvo de brilla
l_General	1	emergencias
l_General	1	quiero un seguro brilla
l_General	1	necesito conocer cuanto es el saldo de mi deuda
l_General	1	que debo hacer para obtener una certificación de lo facturado
l_General	1	tengo una fuga de gas
l_General	1	quiero tener mi revision periodica
l_General	1	imprimir resumen de lo cobrado el año
l_General	1	rechazar
l_General	1	deseo conocer el menu
l_General	1	me voy de esta casa y quiero llevarme la deuda de brilla
l_General	1	quiero un seguro
l_General	1	cuando me realizar la reconexion del servicio
l_General	1	quiero agendar mi revision periodica
l_General	1	cual es el valor de factura actual
l_General	1	un anticipo de mi factura
l_General	1	horario de mi revision
l_General	1	quiero un crédito de brilla
l_General	1	fecha ultima lectura
l_General	1	nada del otro mundo
l_General	1	solo cocino una vez al dia, porque me cobran tanto
l_General	1	como hago para utilizar el cupo de brilla
l_General	1	no es posible
l_General	1	me puedes mostrar el menu
l_General	1	requisitos para la exención de contribución
l_General	1	como puedo imprimir mi factura
l_General	1	en qué fecha tomaron la lectura en mi casa
l_General	1	estado pqr
l_General	1	ultima lectura
l_General	1	por aquí puedo saber cuánto debo de mi diferido
l_General	1	sí bro
l_General	1	menu
l_General	1	si
l_General	1	duplicado de factura
l_General	1	prepago recibo
l_General	1	deseo una relación de los pagos realizados
l_General	1	cuando sera la revision periodica
l_General	1	necesito un seguro
l_General	1	a que horas me reconectan el servicio
l_General	1	puedo pagar mi deuda de gas en otro predio
l_General	1	estado de solicitud sqr
l_General	1	deseo abonar al consumo
l_General	1	requiero la reconexion de mi servicio
