Utterance	Intents
necesito instalar el calentador estufa cocina	q_Chitchat, q_Faq
donde puedo adquirir un seguro con brilla	l_General, q_Chitchat
necesito saber cual es la garantia de un producto que saque con brilla	q_Chitchat, q_Faq
quiero un certificado de los valores cobrados en mi factura	l_General, q_Chitchat
costo de la visita tecnica	q_Chitchat, q_Faq
es posible que me queden los dos cupos brilla	q_Chitchat, q_Faq
que valor esta el kw	q_Chitchat, q_Faq
quiero hacer una reclamacion.	q_Chitchat, q_Faq
deseo hacer un abono a mi recibo	l_General, q_Chitchat
relacion de los pagos realizados	l_General, q_Chitchat
reconexion desde centro de	q_Chitchat, q_Faq
con que dato imprimo mi recibo	l_General, q_Chitchat
porque mi factura me llegó tan alta	l_General, q_Chitchat
no me alcanzo para pagar puedo pagar con otro cupo	q_Chitchat, q_Faq
identidad de funcionario	l_General, q_Chitchat
como hago para bloquear mi factura para que no financien	q_Chitchat, q_Faq
quiero detallado de las facturas	l_General, q_Chitchat
por que me cobran reconexion si no me han cortado	q_Chitchat, q_Faq
requiero una constancia de pagos	l_General, q_Chitchat
que tiempo se demora la reconexion	q_Chitchat, q_Faq
me llego carta de la revision	q_Chitchat, q_Faq
donde puedo solicitar productos para pagarlos por medio de brilla	q_Chitchat, q_Faq
cuanto se demoran en contestar mi derecho de peticion	q_Chitchat, q_Faq
tengo un a persona de quavii, para saber si es de la empresa	l_General, q_Chitchat
a que lugar puedo ir para comprar un producto de brilla	q_Chitchat, q_Faq
requiero la reconexion de mi servicio	l_General, q_Chitchat
costo de certificacion	q_Chitchat, q_Faq
como hago reclamo por el servicio de energia	q_Chitchat, q_Faq
cual es el tiempo de espera del servicio	q_Chitchat, q_Faq
en cuanto tiempo se van a acercar a mi domicilio	q_Chitchat, q_Faq
quiero que me explique el valor que aparece en los conceptos de mi recibo de energia	q_Chitchat, q_Faq
hay una persona en mi casa y dice que viene de la empresa	l_General, q_Chitchat
cuanto demora en que me respondan una queja	q_Chitchat, q_Faq
exencion de contribucion	q_Chitchat, q_Faq
donde puedo hacer un credito con brilla cuales son las direcciones de los almacenes	q_Chitchat, q_Faq
presento reclamo u queja por alto costo en la factura	q_Chitchat, q_Faq
bloquear para que no compren con brilla	q_Chitchat, q_Faq
cual es el saldo actual de mi factura	l_General, q_Chitchat
me llegó más cara mi factura	l_General, q_Chitchat
no tengo dinero para cancelar el seguro	q_Chitchat, q_Faq
como hago para que no se pueda sacar nada por el recibo	q_Chitchat, q_Faq
cual es el timpo de las reparaciones	q_Chitchat, q_Faq
estoy inconforme con el servicio y quiero poner una queja	q_Chitchat, q_Faq
tipos de seguros	l_General, q_Chitchat
solicito me expliquen porque se me promedio para la facturación del mes	l_General, q_Chitchat
como hago para cancelar el seguro	q_Chitchat, q_Faq
que ocurre si el titular del credito fallece	q_Chitchat, q_Faq
en cuantos dias me realizan la visita	q_Chitchat, q_Faq
en cuanto esta el kilovatio en este mes	q_Chitchat, q_Faq
conectar el calentador estufa cocina	q_Chitchat, q_Faq
cuando resuelven	q_Chitchat, q_Faq
en cuanto tiempo me realizan la visita	q_Chitchat, q_Faq
financiacion brilla	q_Chitchat, q_Faq
valor de la revision periodica	q_Chitchat, q_Faq
necesito que me hagan una visita para revision del medidor o cambio	q_Chitchat, q_Faq
exoneracion de pago de contribucion	l_General, q_Chitchat
necesito la referencia de pago	l_General, q_Chitchat
a que horas me reconectan el servicio	l_General, q_Chitchat, q_Faq
estoy en desacuerdo con mi factura	l_General, q_Chitchat
cuales es el precio para una nueva matricula	q_Chitchat, q_Faq
por que aplican una tarifa diferente al costo unitario	q_Chitchat, q_Faq
catalogo de productos brilla	q_Chitchat, q_Faq
el señor xxx identificado con # si es de la empresa	l_General, q_Chitchat
no estoy de acuerdo con mi consumo	l_General, q_Chitchat
deseo pagar la factura anterior	l_General, q_Chitchat
revision obligatoria	q_Chitchat, q_Faq
estado sqr	l_General, q_Chitchat
a mi vecino la facturan por menor valor	l_General, q_Chitchat
solicito una visita al predio para que revisen el medidor	q_Chitchat, q_Faq
reconexion desde el medidor	l_General, q_Chitchat
factor de correccion	q_Chitchat, q_Faq
alamacenes donde puedo financiar con brilla	q_Chitchat, q_Faq
cuando toca la revision periodica que costo tiene	q_Chitchat, q_Faq
por aquí me generan un certificado de los valores cobrados en mi factura	l_General, q_Chitchat
como hago para sumar los cupos que tengo en la casa	q_Chitchat, q_Faq
necesito cotizar un multiservicio	q_Chitchat, q_Faq
