Utterance	Intents
cuando me reconectan mi servicio	l_General, q_Chitchat
donde puedo adquirir un seguro con brilla	l_General, q_Chitchat
necesito saber cual es la garantia de un producto que saque con brilla	q_Chitchat, q_Faq
quiero un certificado de los valores cobrados en mi factura	l_General, q_Chitchat
es posible que me queden los dos cupos brilla	q_Chitchat, q_Faq
que valor esta el kw	q_Chitchat, q_Faq
en que fecha se hara mi revision periodica	l_General, q_Chitchat
deseo hacer un abono a mi recibo	l_General, q_Chitchat
quiero pagar solo brilla pero no tengo un cupon	l_General, q_Chitchat
como puedo saber que facturas pague	l_General, q_Chitchat
con que dato imprimo mi recibo	l_General, q_Chitchat
porque mi factura me llegó tan alta	l_General, q_Chitchat
identidad de funcionario	l_General, q_Chitchat
como hago para bloquear mi factura para que no financien	q_Chitchat, q_Faq
necesito saber si una persona trabaja en gases de occidente	l_General, q_Chitchat
donde puedo imprimir mi factura	l_General, q_Chitchat
cuanto cuesta el servicio	q_Chitchat, q_Faq
por que me cobran reconexion si no me han cortado	q_Chitchat, q_Faq
requiero una constancia de pagos	l_General, q_Chitchat
que tiempo se demora la reconexion	q_Chitchat, q_Faq
donde puedo solicitar productos para pagarlos por medio de brilla	q_Chitchat, q_Faq
cuales son los requisitos para un credito brilla	l_General, q_Chitchat
tengo un a persona de quavii, para saber si es de la empresa	l_General, q_Chitchat
a que lugar puedo ir para comprar un producto de brilla	q_Chitchat, q_Faq
costo de certificacion	q_Chitchat, q_Faq
quiero saber que facturas cancele durante x fechas	l_General, q_Chitchat
como hago reclamo por el servicio de energia	q_Chitchat, q_Faq
cual es el tiempo de espera del servicio	q_Chitchat, q_Faq
quiero que me explique el valor que aparece en los conceptos de mi recibo de energia	q_Chitchat, q_Faq
se me daño, requiero la garantia de brilla	q_Chitchat, q_Faq
exencion de contribucion	q_Chitchat, q_Faq
donde puedo hacer un credito con brilla cuales son las direcciones de los almacenes	q_Chitchat, q_Faq
por aquí puedo imprimir un certificado de pago	l_General, q_Chitchat
el producto tiene garantia	q_Chitchat, q_Faq
bloquear para que no compren con brilla	q_Chitchat, q_Faq
cual es el saldo actual de mi factura	l_General, q_Chitchat
me llegó más cara mi factura	l_General, q_Chitchat
no tengo dinero para cancelar el seguro	q_Chitchat, q_Faq
cual es el timpo de las reparaciones	q_Chitchat, q_Faq
estoy inconforme con el servicio y quiero poner una queja	q_Chitchat, q_Faq
tipos de seguros	l_General, q_Chitchat
como hago para cancelar el seguro	q_Chitchat, q_Faq
que ocurre si el titular del credito fallece	q_Chitchat, q_Faq
como puedo unir el cupo de brilla	q_Chitchat, q_Faq
cuando resuelven	q_Chitchat, q_Faq
en este mes en cuanto esta la tarifa	q_Chitchat, q_Faq
valor de la revision periodica	q_Chitchat, q_Faq
necesito que me hagan una visita para revision del medidor o cambio	q_Chitchat, q_Faq
exoneracion de pago de contribucion	l_General, q_Chitchat
soporte de pago del ultimo mes	l_General, q_Chitchat
deseo cancelar solo el gas	l_General, q_Chitchat
necesito la referencia de pago	l_General, q_Chitchat
si se me daño algo, brilla me cubre	q_Chitchat, q_Faq
a que horas me reconectan el servicio	q_Chitchat, q_Faq
estoy en desacuerdo con mi factura	l_General, q_Chitchat
cuanto se demoran mas o menos en ir	q_Chitchat, q_Faq
cuales es el precio para una nueva matricula	q_Chitchat, q_Faq
reconexion residencial	q_Chitchat, q_Faq
por que aplican una tarifa diferente al costo unitario	q_Chitchat, q_Faq
catalogo de productos brilla	q_Chitchat, q_Faq
quiero saber que es lo que me cobran en los recibos	q_Chitchat, q_Faq
que puedo financiar con brilla	q_Chitchat, q_Faq
necesito un mantenimiento	q_Chitchat, q_Faq
estado sqr	l_General, q_Chitchat
solicito una visita al predio para que revisen el medidor	q_Chitchat, q_Faq
factor de correccion	q_Chitchat, q_Faq
para informacion sobre la garantia que tiene el producto tal brilla.	q_Chitchat, q_Faq
cuando toca la revision periodica que costo tiene	q_Chitchat, q_Faq
por aquí me generan un certificado de los valores cobrados en mi factura	l_General, q_Chitchat
que se debe hacer para una solicitud de mantenimiento	q_Chitchat, q_Faq
deseo pagar el recibo anterior	l_General, q_Chitchat
ya pague el servicio, me reconectan la energia ya mismo	l_General, q_Chitchat, q_Faq
cuanto se demora en atender la solicitud	q_Chitchat, q_Faq
soporte de pago de enero	l_General, q_Chitchat
necesito saber que me estan cobrando en la factura	q_Chitchat, q_Faq
no estoy de acuerdo con	q_Chitchat, q_Faq
donde se pueden buscar las tarifas de los servicios	q_Chitchat, q_Faq
cual es el telefono de la aseguradora	q_Chitchat, q_Faq
me llegó más caro mi recibo	l_General, q_Chitchat
cual es la tarifa de los servicios complementarios	q_Chitchat, q_Faq
cuando me realizan la reconexion del servicio	l_General, q_Chitchat
cuando sera mi proxima revision	l_General, q_Chitchat
por aqui me pueden explicar mi recibo	q_Chitchat, q_Faq
el tecnico que esta en mi casa si pertenece a la empresa	l_General, q_Chitchat
donde puedo ver los productos que tiene brilla	q_Chitchat, q_Faq
donde se dirige para solicitar la garantia de electrodomesticos de brilla	q_Chitchat, q_Faq
como hago para solicitar la garantia	q_Chitchat, q_Faq
resumen de estado de cuenta	l_General, q_Chitchat
aquí puedo saber mi valor a pagar y la fecha limite de pago	l_General, q_Chitchat
cuando me reconectan el servicio, como hago para cambiar el cable de la acometida	l_General, q_Chitchat, q_Faq
que debo hacer para financiar por brilla	l_General, q_Chitchat, q_Faq
aquí puedo descargar el estado de cuenta	l_General, q_Chitchat
me informa sobre servicios tecnicos prestados en su empresa	q_Chitchat, q_Faq
reclamo y queja por el servicio	q_Chitchat, q_Faq
catalogo de servicios brilla	q_Chitchat, q_Faq
tiempos de reconexion	q_Chitchat, q_Faq
certificado de pago de los meses	l_General, q_Chitchat
pueden mandar una visita para mantenimiento	q_Chitchat, q_Faq
quiero quejarme	q_Chitchat, q_Faq
no puedo pagar toda la factura y quiero hacer un abono	l_General, q_Chitchat
donde puedo financiar con credito brilla	q_Chitchat, q_Faq
como coloco una queja	q_Chitchat, q_Faq
imprimir resumen estado de cuenta	l_General, q_Chitchat
listado de proveedores brilla	q_Chitchat, q_Faq
cual es la garantia de lo que compre con brilla	q_Chitchat, q_Faq
reclamo	q_Chitchat, q_Faq
que tiempo se demoran en solucionar	q_Chitchat, q_Faq
en cuantos dias me dan la respuesta la empresa	q_Chitchat, q_Faq
