Utterance	Intents
cuando me reconectan mi servicio	l_General, q_Chitchat
donde puedo adquirir un seguro con brilla	l_General, q_Chitchat
costo de la visita tecnica	q_Chitchat, q_Faq
es posible que me queden los dos cupos brilla	q_Chitchat, q_Faq
quiero hacer una reclamacion.	q_Chitchat, q_Faq
relacion de los pagos realizados	l_General, q_Chitchat
como puedo saber que facturas pague	l_General, q_Chitchat
identidad de funcionario	l_General, q_Chitchat
que debo de hacer para unificar cupo brilla	q_Chitchat, q_Faq
solicita tu pago anticipado	l_General, q_Chitchat
necesito saber si una persona trabaja en gases de occidente	l_General, q_Chitchat
donde puedo imprimir mi factura	l_General, q_Chitchat
quiero detallado de las facturas	l_General, q_Chitchat
cuanto cuesta el servicio	q_Chitchat, q_Faq
por que me cobran reconexion si no me han cortado	q_Chitchat, q_Faq
me llego carta de la revision	q_Chitchat, q_Faq
donde puedo solicitar productos para pagarlos por medio de brilla	q_Chitchat, q_Faq
tengo un a persona de quavii, para saber si es de la empresa	l_General, q_Chitchat
a que lugar puedo ir para comprar un producto de brilla	q_Chitchat, q_Faq
requiero la reconexion de mi servicio	l_General, q_Chitchat
quiero abonar solo a brilla	l_General, q_Chitchat
como hago reclamo por el servicio de energia	q_Chitchat, q_Faq
en cuanto tiempo se van a acercar a mi domicilio	q_Chitchat, q_Faq
quiero que me explique el valor que aparece en los conceptos de mi recibo de energia	q_Chitchat, q_Faq
cuanto demora en que me respondan una queja	q_Chitchat, q_Faq
se me daño, requiero la garantia de brilla	q_Chitchat, q_Faq
por aquí puedo imprimir un certificado de pago	l_General, q_Chitchat
el producto tiene garantia	q_Chitchat, q_Faq
presento reclamo u queja por alto costo en la factura	q_Chitchat, q_Faq
cual es el saldo actual de mi factura	l_General, q_Chitchat
me llegó más cara mi factura	l_General, q_Chitchat
que en cuanto tiempo se tiene respuesta de lo solicitado	q_Chitchat, q_Faq
se me perdio mi factura como la puedo imprimir	l_General, q_Chitchat
estoy inconforme con el servicio y quiero poner una queja	q_Chitchat, q_Faq
tipos de seguros	l_General, q_Chitchat
solicito me expliquen porque se me promedio para la facturación del mes	l_General, q_Chitchat
cuando me vuelven a reconectar el servicio	l_General, q_Chitchat
en cuantos dias me realizan la visita	q_Chitchat, q_Faq
en cuanto esta el kilovatio en este mes	q_Chitchat, q_Faq
conectar el calentador estufa cocina	q_Chitchat, q_Faq
como puedo unir el cupo de brilla	q_Chitchat, q_Faq
cuando resuelven	q_Chitchat, q_Faq
en cuanto tiempo me realizan la visita	q_Chitchat, q_Faq
en este mes en cuanto esta la tarifa	q_Chitchat, q_Faq
financiacion brilla	q_Chitchat, q_Faq
quiero un certificado de mi recibo	l_General, q_Chitchat
si se me daño algo, brilla me cubre	q_Chitchat, q_Faq
a que horas me reconectan el servicio	l_General, q_Chitchat, q_Faq
estoy en desacuerdo con mi factura	l_General, q_Chitchat
cuanto se demoran mas o menos en ir	q_Chitchat, q_Faq
en cuanto tiempo los tecnicos atienden mi solicitud	q_Chitchat, q_Faq
el señor xxx identificado con # si es de la empresa	l_General, q_Chitchat
quiero saber que es lo que me cobran en los recibos	q_Chitchat, q_Faq
que puedo financiar con brilla	q_Chitchat, q_Faq
no estoy de acuerdo con mi consumo	l_General, q_Chitchat
necesito un mantenimiento	q_Chitchat, q_Faq
revision obligatoria	q_Chitchat, q_Faq
quiero saber el historial de mi factura	l_General, q_Chitchat
estado sqr	l_General, q_Chitchat
a mi vecino la facturan por menor valor	l_General, q_Chitchat
dejar de pagar poliza de seguro	q_Chitchat, q_Faq
reconexion desde el medidor	l_General, q_Chitchat, q_Faq
alamacenes donde puedo financiar con brilla	q_Chitchat, q_Faq
para informacion sobre la garantia que tiene el producto tal brilla.	q_Chitchat, q_Faq
deseo pagar el recibo anterior	l_General, q_Chitchat
ya pague el servicio, me reconectan la energia ya mismo	l_General, q_Chitchat, q_Faq
reclamar un seguro	q_Chitchat, q_Faq
necesito saber que puedo sacar con brilla, me dan la plata	q_Chitchat, q_Faq
cuanto se demora en atender la solicitud	q_Chitchat, q_Faq
aquí puedo saber el valor de mi factura y la feca limite	l_General, q_Chitchat
necesito imprimir mi factura	l_General, q_Chitchat
soporte de pago de enero	l_General, q_Chitchat
deseo que me explique los montos que figuran en mi recibo	q_Chitchat, q_Faq
un anticipo de mi factura	l_General, q_Chitchat
no estoy de acuerdo con	q_Chitchat, q_Faq
donde se pueden buscar las tarifas de los servicios	q_Chitchat, q_Faq
cual es el telefono de la aseguradora	q_Chitchat, q_Faq
donde pueden adquirir electrodomesticos	q_Chitchat, q_Faq
certificado de tus facturas	l_General, q_Chitchat
cual es la tarifa de los servicios complementarios	q_Chitchat, q_Faq
cuando me realizan la reconexion del servicio	l_General, q_Chitchat
cuando sera mi proxima revision	l_General, q_Chitchat
por aqui me pueden explicar mi recibo	q_Chitchat, q_Faq
el tecnico que esta en mi casa si pertenece a la empresa	l_General, q_Chitchat
cada cuanto van los tecnicos para mantenimiento	q_Chitchat, q_Faq
necesito de la certificacion de la red	q_Chitchat, q_Faq
como hago para solicitar la garantia	q_Chitchat, q_Faq
resumen de estado de cuenta	l_General, q_Chitchat
cuando me reconectan el servicio, como hago para cambiar el cable de la acometida	l_General, q_Chitchat, q_Faq
que debo hacer para financiar por brilla	l_General, q_Chitchat, q_Faq
como hago para pedir la garantia	q_Chitchat, q_Faq
catalogo de servicios brilla	q_Chitchat, q_Faq
imprimir resumen de lo cobrado el año	l_General, q_Chitchat
tiempos de reconexion	q_Chitchat, q_Faq
cada cuanto debo de hacer la revision periodica	q_Chitchat, q_Faq
pueden mandar una visita para mantenimiento	q_Chitchat, q_Faq
quiero quejarme	q_Chitchat, q_Faq
donde puedo financiar con credito brilla	q_Chitchat, q_Faq
cuanto debo de mi factura	l_General, q_Chitchat
por aquí puedo imprimir un certificado de mi recibo	l_General, q_Chitchat
imprimir resumen estado de cuenta	l_General, q_Chitchat
como son las tarifas de servicios	q_Chitchat, q_Faq
no entiendo los cobros que llegan en la factura	q_Chitchat, q_Faq
reclamo	q_Chitchat, q_Faq
que tiempo se demoran en solucionar	q_Chitchat, q_Faq
duplicado de factura	l_General, q_Chitchat
precios de tarifas	q_Chitchat, q_Faq
brilla garantia	q_Chitchat, q_Faq
cuanto se demoran en darme respuesta a mi pqr	q_Chitchat, q_Faq
hasta cuando tengo plazo de pagar mi factura	l_General, q_Chitchat
